"cn";"normal";"trocken";"feucht"
0;1;0.35;2.59
1;1;0.355;2.553
2;1;0.36;2.516
3;1;0.365;2.479
4;1;0.37;2.442
5;1;0.375;2.405
6;1;0.38;2.368
7;1;0.385;2.331
8;1;0.39;2.294
9;1;0.395;2.257
10;1;0.4;2.22
11;1;0.405;2.183
12;1;0.41;2.146
13;1;0.415;2.109
14;1;0.42;2.072
15;1;0.425;2.035
16;1;0.43;1.998
17;1;0.435;1.961
18;1;0.44;1.924
19;1;0.445;1.887
20;1;0.45;1.85
21;1;0.455;1.832
22;1;0.46;1.814
23;1;0.465;1.796
24;1;0.47;1.778
25;1;0.475;1.76
26;1;0.48;1.742
27;1;0.485;1.724
28;1;0.49;1.706
29;1;0.495;1.688
30;1;0.5;1.67
31;1;0.505;1.653
32;1;0.51;1.636
33;1;0.515;1.619
34;1;0.52;1.602
35;1;0.525;1.585
36;1;0.53;1.568
37;1;0.535;1.551
38;1;0.54;1.534
39;1;0.545;1.517
40;1;0.55;1.5
41;1;0.557;1.49
42;1;0.564;1.48
43;1;0.571;1.47
44;1;0.578;1.46
45;1;0.585;1.45
46;1;0.592;1.44
47;1;0.599;1.43
48;1;0.606;1.42
49;1;0.613;1.41
50;1;0.62;1.4
51;1;0.625;1.39
52;1;0.63;1.38
53;1;0.635;1.37
54;1;0.64;1.36
55;1;0.645;1.35
56;1;0.65;1.34
57;1;0.655;1.33
58;1;0.66;1.32
59;1;0.665;1.31
60;1;0.67;1.3
61;1;0.676;1.291
62;1;0.682;1.282
63;1;0.688;1.273
64;1;0.694;1.264
65;1;0.7;1.255
66;1;0.706;1.246
67;1;0.712;1.237
68;1;0.718;1.228
69;1;0.724;1.219
70;1;0.73;1.21
71;1;0.736;1.203
72;1;0.742;1.196
73;1;0.748;1.189
74;1;0.754;1.182
75;1;0.76;1.175
76;1;0.766;1.168
77;1;0.772;1.161
78;1;0.778;1.154
79;1;0.784;1.147
80;1;0.79;1.14
81;1;0.798;1.133
82;1;0.806;1.126
83;1;0.814;1.119
84;1;0.822;1.112
85;1;0.83;1.105
86;1;0.838;1.098
87;1;0.846;1.091
88;1;0.854;1.084
89;1;0.862;1.077
90;1;0.87;1.07
91;1;0.883;1.063
92;1;0.896;1.056
93;1;0.909;1.049
94;1;0.922;1.042
95;1;0.935;1.035
96;1;0.948;1.028
97;1;0.961;1.021
98;1;0.974;1.014
99;1;0.987;1.007
100;1;1;1
